id,redcap,version,consent_level,english_all_or_most_or_first_lang_or_school,usable,usable_age,testing_date,video_quality,audio_quality,age,floor_age,gender,condition,counterbalance,first_room,first_song,song1_mem_check,song2_mem_check,test_q,test_q_explanation,P_hear_S,P_see_S,S_see_P,carrie_diverse_desires,rachel_prediction_implicit_false_belief,joe_diverse_beliefs,diana_prediction_false_belief_location,diana_explanation_false_belief_location,diana_control_false_belief_location,allie_predicition_false_belief_location,allie_explanation_false_belief_location,allie_control_emotion,allie_prediction_moral_reasoning_false_belief,allie_explanation_moral_reasoning_false_belief,allie_prediction2_moral_reasoning_false_belief,allie_explanation2_moral_reasoning_false_belief,tom_fb_only,tom_fb_control,tom_fb_with_exp_control,tom_no_why,tom_no_moral,tom_no_why_no_moral,tom,VA_experience,SS_experience,va_type,number_of_SS_in_home,notes
AlexaEmbodiment_211112_11_LL,oc840,1,1,1,0,1,11/12/2021,5,5,3.41,3,F,Person,1,office,spider,1,1,spider,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,0,0,1,0,Siri,0,opted out for storytime
AlexaEmbodiment_211112_12_LL,ob141,1,3,1,1,1,11/12/2021,5,5,5.11,5,F,Person,1,office,spider,1,1,spider,because she played that before,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,8,9,7,13,1,1,Alexa,1,
AlexaEmbodiment_211112_13_LL,oc863,1,1,1,0,0,11/12/2021,3,3,7.5,7,M,Person,1,office,spider,1,1,spider,because that's what scotty asked for,,,,1,1,1,1,1,1,1,1,1,1,1,,1,3,3,6,7,9,7,12,0,0,NA,0,video problem for main test question (couldn't hear)
AlexaEmbodiment_211112_14_LL,oc492,1,1,1,1,1,11/12/2021,5,3,4.74,4,M,Person,1,office,spider,1,1,spider,because it played it last time,,,,1,1,1,1,1,1,1,1,1,0,0,0,0,3,3,6,6,9,7,9,0,0,NA,1,
AlexaEmbodiment_211112_15_LL,od073,1,2,0,0,0,11/12/2021,5,5,3.99,3,F,Person,1,office,spider,1,1,spider,,,,,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,0,0,1,1,Alexa,2,not fluent in English (didn't understand well)
AlexaEmbodiment_211115_16_GD,oc852,1,1,1,1,1,11/15/2021,5,5,4.09,4,M,Person,1,office,spider,1,1,spider,because he likes it,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,3,3,6,7,9,7,10,0,0,NA,0,
AlexaEmbodiment_211115_17_GD,oc710,1,2,1,1,1,11/15/2021,5,3,4.96,4,M,Person,1,office,spider,1,1,wheels,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,0,Google Assistant,0,"could not answer ""why"" questions"
AlexaEmbodiment_211115_18_GD,oc665,1,2,1,1,1,11/15/2021,5,5,4,4,M,VUI,1,office,spider,1,1,spider,because he likes it,,,,1,1,1,0,0,1,1,0,1,0,1,0,0,2,2,3,5,6,6,7,0.5,0,Siri,0,
AlexaEmbodiment_211117_19_GD,ob164,1,3,1,1,1,11/17/2021,5,5,8.51,8,M,Person,1,office,spider,1,1,spider,because he said it was his favorite to her,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,3,3,6,7,9,7,11,0,0,NA,0,
AlexaEmbodiment_211117_20_GD,ob009,1,1,1,1,1,11/17/2021,5,5,5.42,5,F,VUI,1,office,spider,1,1,spider,because it's his favorite song,,,,1,1,1,1,1,1,1,1,1,0,0,0,0,3,3,6,6,9,7,9,1,0,Siri,0,
AlexaEmbodiment_211117_21_GD,ob091,1,1,1,1,1,11/17/2021,5,5,7.84,7,F,Person,1,office,spider,1,1,wheels,i don't know,,,,1,1,1,1,1,1,1,1,1,0,0,1,1,3,3,6,7,9,7,11,1,1,Alexa,3,
AlexaEmbodiment_211118_22_LL,ob010,1,1,1,1,1,11/18/2021,5,5,7.82,7,F,VUI,1,office,spider,1,1,spider,because he told the first Paisia that that was his favorite song,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,8,9,7,13,1,0,Siri,0,
AlexaEmbodiment_211119_23_LL,oc730,1,1,1,1,1,11/19/2021,5,5,3.93,3,F,VUI,1,office,spider,1,1,wheels,"""because I heard it before"" (I think recency effect, originally said ""IDK"" + had to promt response to take a guess)",IDK,IDK,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,3,4,6,4,7,1,1,Alexa,1,got confused with who is Scotty and who is Paisia was for Scotty shirt question
AlexaEmbodiment_211119_24_LL,oc340,1,1,1,1,1,11/19/2021,5,5,5.01,5,F,VUI,1,office,spider,1,1,spider,because on the first time she said the itsy bitsy spider ,N,Y,Y,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,3,5,6,4,10,1,1,"Alexa, Google",2,"thought Scotty's shirt was ""white"" (I think because Paisia is white)"
AlexaEmbodiment_211119_25_LL,oc800,1,2,1,1,1,11/19/2021,5,5,5.01,5,M,VUI,1,office,spider,1,1,spider,because she didn't know the other one,Y,Y,Y,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,4,5,7,5,9,1,1,Google,1,
AlexaEmbodiment_211129_26_GD,oc715,1,3,1,1,1,11/29/21,5,5,4.87,4,M,VUI,1,office,spider,1,1,spider,because it's his favorite,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,8,9,7,13,1,1,Alexa,1,
AlexaEmbodiment_211129_27_GD,oc922,1,3,1,0,0,11/29/21,5,5,3.87,3,F,Person,1,office,spider,0,0,don't know,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,Siri/Homepod,1,failed memory checks so skipped booklet
AlexaEmbodiment_211129_28_GD,ob189,1,2,1,1,1,11/29/21,5,5,7.79,7,F,Person,1,office,spider,1,1,spider,because he told her that his favorite song is the itsy bitsy spider,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,8,9,7,13,1,1,Siri and Echo at grandma's house,0,
