child__hashed_id,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,child_gender
JD34YF,AI,3,spider,wheels,spider,1,1,1,1,2.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a week,About once a week,1,1,1,1,1,m
XKdc35,person,1,spider,wheels,spider,1,0,0,0,0.0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,Less than once a week,1,1,1,1,1,f
A5ZcC2,person,4,wheels,spider,spider,1,1,0,0,5.0,no experience with coding,Several times a day,About once a day,Less than once a week,1,1,1,1,0,m
VdM6UX,person,4,wheels,spider,wheels,1,1,1,1,1.0,,About once a day,Never,About once a day,1,1,1,1,1,m
dR3ZQW,person,3,spider,wheels,spider,1,1,1,1,1.0,no experience with coding,About once a day,About once a day,Never,1,1,1,1,1,m
4d2CPG,AI,1,spider,wheels,wheels,1,1,1,1,0.0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a day,1,1,1,1,0,m
7JUJPC,person,3,spider,wheels,spider,1,1,1,1,,no experience with coding,Several times a day,About once a day,Less than once a week,1,1,1,1,1,m
4URBHK,AI,2,wheels,spider,wheels,1,1,1,1,1.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,,1,1,1,1,1,f
YQXHAZ,person,2,wheels,spider,wheels,1,0,0,1,0.0,no experience with coding,,,,1,1,1,1,1,m
C2J3Kd,AI,2,wheels,spider,spider,1,0,0,0,0.0,no experience with coding,About once a day,Never,Never,1,1,1,1,0,f
ZADALH,AI,4,wheels,spider,wheels,1,1,1,1,1.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a day,About once a day,1,1,1,1,1,f
MLH6HJ,AI,1,spider,wheels,spider,1,1,1,1,3.0,coding class at school,Several times a day,About once a day,Several times a day,1,1,1,1,1,f
RC5T3R,AI,3,spider,wheels,spider,1,1,1,1,,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable),no experience with coding",,,,1,1,1,1,1,f
ZU2PLS,person,3,spider,wheels,spider,1,1,1,1,,,,,,1,1,1,1,1,f
KYNWJ7,person,1,spider,wheels,spider,1,0,0,0,,,,,,1,1,1,1,1,f
UEXRGR,AI,2,wheels,spider,wheels,1,0,0,0,,,About once a day,,,1,1,1,1,1,m
FVTKHG,AI,1,spider,wheels,spider,1,1,1,1,1.0,coding class at school,Several times a day,About once a week,Less than once a week,1,1,1,1,1,f
5WHcX5,person,2,wheels,spider,wheels,1,1,1,1,,no experience with coding,About once a day,,About once a week,1,1,1,1,1,m
65LC6N,person,1,spider,twinkle,spider,0,0,0,1,3.0,no experience with coding,About once a day,About once a day,About once a day,1,0,0,0,1,m
BNXB5D,AI,4,wheels,spider,wheels,1,1,1,1,0.0,no experience with coding,Several times a day,,,1,1,1,1,1,f
FFZF7X,AI,4,wheels,spider,spider,1,1,1,1,3.0,no experience with coding,About once a day,About once a day,About once a week,1,1,1,1,0,f
4ABCC4,AI,3,wheels,twinkle,spider,1,0,0,1,0.0,no experience with coding,Less than once a week,,,0,0,1,0,1,f
RHTVQE,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,m
747d4U,person,1,spider,wheels,spider,1,0,0,0,0.0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1,f
MBSYFS,person,3,spider,wheels,spider,1,0,0,0,2.0,no experience with coding,About once a day,About once a week,About once a week,1,1,1,1,1,m
VAKJdV,AI,3,spider,wheels,spider,1,1,1,1,1.0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Less than once a week,Less than once a week,Less than once a week,1,1,1,1,1,m
