child_id,child_gender,child_age_rounded,age_days,age,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,mean_fb,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1,age_months,floor_age,va_daily,ss_daily,multiSSexperience
BC76CA,m,3780,3776,10.33812457,Person,2,wheels,spider,wheels,1,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,Never,1,1,1,1,1,124.1411053,10,FALSE,FALSE,FALSE
,,,3408,9.330595483,Person,1,spider,wheels,spider,1,0,0,1,0.333333333,0,no experience with coding,Several times a day,,,1,1,1,1,1,112.0426078,9,,,FALSE
,,,4059,11.11293634,Person,1,spider,wheels,spider,1,1,1,1,1,,,Several times a day,,,1,1,1,1,1,133.4451129,11,,,
BJZGD2,f,3270,3256,8.914442163,AI,4,wheels,spider,wheels,1,1,1,1,1,,no experience with coding,About once a day,,Several times a day,1,1,1,1,1,107.0454022,8,TRUE,,
BLMEUH,f,1560,1548,4.238193018,AI,2,wheels,spider,wheels,1,1,1,1,1,,,About once a day,,Several times a day,1,1,1,1,1,50.89259296,4,TRUE,,
BNXB5D,f,2640,2628,7.195071869,AI,4,wheels,spider,wheels,1,1,1,1,1,0,no experience with coding,Several times a day,,,1,1,1,1,1,86.39905316,7,,,FALSE
BVA42Y,f,1950,1954,5.349760438,Person,4,wheels,spider,wheels,1,0,0,0,0,1,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,1,64.24039189,5,FALSE,FALSE,FALSE
BVZU4W,m,4140,4140,11.33470226,AI,1,spider,wheels,spider,1,0,0,1,0.333333333,0,no experience with coding,Several times a day,,,1,1,1,1,1,136.1080974,11,,,FALSE
BZVQUN,f,3840,3852,10.54620123,AI,4,wheels,spider,wheels,1,1,1,1,1,6,coding class at school,About once a day,Several times a day,About once a day,1,1,1,1,1,126.6397081,10,TRUE,TRUE,TRUE
,,,1199,3.282683094,AI,1,spider,wheels,wheels,1,0,0,0,0,0,no experience with coding,About once a day,,,1,1,1,1,0,39.4187461,3,,,FALSE
C2J3Kd,f,1350,1357,3.715263518,AI,2,wheels,spider,spider,1,0,0,0,0,0,no experience with coding,About once a day,Never,Never,1,1,1,1,0,44.61320972,3,FALSE,FALSE,FALSE
C2PTE3,f,1380,1372,3.75633128,AI,4,wheels,spider,wheels,1,0,0,0,0,,,Several times a day,,About once a day,1,1,1,1,1,45.106355,3,TRUE,,
c3dQ5P,m,3720,3713,10.16563997,AI,1,spider,wheels,spider,1,1,1,1,1,5,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,122.0698951,10,TRUE,TRUE,TRUE
c53NTX,m,3870,3866,10.58453114,Person,1,spider,wheels,spider,1,1,1,1,1,5,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Several times a day,Several times a day,1,1,1,1,1,127.099977,10,TRUE,TRUE,TRUE
,,,4608,12.61601643,Person,1,spider,wheels,spider,1,0,1,1,0.666666667,,,About once a day,Less than once a week,,1,1,1,1,1,151.4942302,12,,FALSE,
,,,4608,12.61601643,AI,3,spider,wheels,spider,1,0,0,1,0.333333333,1,no experience with coding,About once a week,Several times a day,,1,1,1,1,1,151.4942302,12,,TRUE,FALSE
,,,2895,7.926078029,AI,1,spider,wheels,spider,1,1,1,1,1,1,"after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,,,1,1,1,1,1,95.17703916,7,,,FALSE
CAECUF,f,3870,3871,10.5982204,AI,2,wheels,spider,wheels,1,1,1,1,1,1,,About once a day,,About once a day,1,1,1,1,1,127.2643587,10,TRUE,,FALSE
CcXK5V,f,3630,3622,9.916495551,Person,1,spider,wheels,spider,1,1,1,1,1,4,"coding class at school,after school programs or camps related to coding",Several times a day,Several times a day,Several times a day,1,1,1,1,1,119.0781471,9,TRUE,TRUE,TRUE
cFCZPK,m,4950,4964,13.59069131,Person,1,spider,wheels,spider,1,1,1,1,1,0,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Never,About once a day,1,1,1,1,1,163.1982115,13,TRUE,FALSE,FALSE
CFGJVV,f,1140,1134,3.104722793,Person,4,wheels,spider,wheels,1,0,0,1,0.333333333,2,no experience with coding,Less than once a week,Several times a day,Several times a day,1,1,1,1,1,37.28178321,3,TRUE,TRUE,TRUE
cFJCJK,f,2490,2499,6.841889117,Person,3,spider,wheels,spider,1,1,1,1,1,5,coding class at school,About once a week,Several times a day,Several times a day,1,1,1,1,1,82.15800375,6,TRUE,TRUE,TRUE
CFZAdK,m,1230,1232,3.37303217,AI,4,wheels,spider,spider,1,1,1,1,1,1,no experience with coding,About once a week,About once a week,About once a week,1,1,1,1,0,40.50366571,3,FALSE,FALSE,FALSE
,,,4591,12.56947296,Person,2,wheels,spider,wheels,1,1,1,1,1,3,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,,1,1,1,1,1,150.9353322,12,,FALSE,TRUE
cKNVRc,f,1770,1773,4.854209446,AI,3,spider,wheels,spider,1,1,1,1,1,3,no experience with coding,About once a day,About once a week,About once a week,1,1,1,1,1,58.28977217,4,FALSE,FALSE,TRUE
cMD6FQ,m,5220,4913,13.45106092,Person,1,spider,wheels,spider,1,1,1,1,1,3,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,Several times a day,1,1,1,1,1,161.5215176,13,TRUE,TRUE,TRUE
cMD6FQ,m,5220,4913,13.45106092,AI,2,wheels,spider,wheels,1,1,1,1,1,1,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1,161.5215176,13,TRUE,TRUE,FALSE
B5SScH,f,2520,4478,12.26009582,Person,2,wheels,spider,wheels,1,1,1,1,1,1,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,1,147.2203044,12,TRUE,TRUE,FALSE
CQKHMP,f,4980,4993,13.67008898,Person,2,wheels,spider,wheels,1,1,1,1,1,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,About once a day,About once a day,1,1,1,1,1,164.1516257,13,TRUE,TRUE,TRUE
CR3XRZ,,,3757,10.28610541,Person,4,wheels,spider,wheels,1,1,0,0,0.333333333,3,,Several times a day,Several times a day,Several times a day,1,1,1,1,1,123.5164546,10,TRUE,TRUE,TRUE
CRAcZd,f,5430,5424,14.85010267,Person,4,wheels,spider,wheels,1,1,1,1,1,1,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,,,1,1,1,1,1,178.3213335,14,,,FALSE
CT6TE2,f,2280,2281,6.245037645,AI,3,spider,wheels,spider,1,1,1,1,1,1,no experience with coding,About once a day,Several times a day,Several times a day,1,1,1,1,1,74.990959,6,TRUE,TRUE,FALSE
CTDG73,m,2490,2492,6.822724162,AI,3,spider,wheels,spider,1,0,0,0,0,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1,81.92786928,6,FALSE,FALSE,FALSE
CTJFJ4,m,4950,4937,13.51676934,Person,3,spider,wheels,spider,1,1,1,1,1,2,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1,162.31055,13,TRUE,TRUE,TRUE
,,,2875,7.871321013,AI,4,wheels,spider,wheels,1,1,1,1,1,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a day,,1,1,1,1,1,94.51951211,7,,TRUE,TRUE
