age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
3630,AI,4,wheels,spider,wheels,1,1,1,1,1,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,About once a day,About once a day,1,1,1,1,1
3583,Person,2,wheels,spider,wheels,1,0,0,0,1,no experience with coding,About once a day,Never,Never,1,1,1,1,1
1209,Person,4,wheels,spider,wheels,1,0,0,0,4,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1
1555,AI,1,spider,wheels,spider,1,0,0,0,0,no experience with coding,About once a week,Never,Never,1,1,1,1,1
1100,Person,1,spider,wheels,spider,1,0,0,1,NA,no experience with coding,Less than once a week,Less than once a week,NA,1,1,1,1,1
2397,Person,3,spider,wheels,spider,1,1,1,1,2,no experience with coding,Several times a day,About once a week,Never,1,1,1,1,1
3055,Person,3,spider,wheels,spider,1,1,1,0,NA,NA,Several times a day,About once a week,Several times a day,1,1,1,1,1
4721,AI,1,spider,wheels,spider,1,1,1,1,NA,coding class at school,Several times a day,NA,About once a day,1,1,1,1,1
3284,Person,3,spider,wheels,spider,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
3658,AI,1,spider,wheels,spider,1,1,1,0,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1
