age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
3000,AI,1,spider,wheels,wheels,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a day,1,1,1,1,0
1520,Person,4,wheels,spider,spider,1,0,0,0,1,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,0
3831,Person,4,wheels,spider,wheels,1,1,1,1,7,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,NA,1,1,1,1,1
2816,Person,3,spider,wheels,spider,1,1,1,1,0,after school programs or camps related to coding,Several times a day,NA,NA,1,1,1,1,1
1098,AI,1,spider,wheels,spider,1,0,0,0,1,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
1579,Person,2,wheels,spider,wheels,1,1,0,0,NA,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1
1868,Person,4,wheels,spider,wheels,1,1,1,1,0,no experience with coding,About once a day,Never,Never,1,1,1,1,1
2058,AI,4,wheels,spider,wheels,1,1,0,0,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a day,1,1,1,1,1
5072,AI,2,wheels,spider,wheels,1,1,1,1,1,"coding class at school,coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Less than once a week,NA,1,1,1,1,1
4646,AI,2,wheels,spider,spider,1,1,1,1,0,after school programs or camps related to coding,Several times a day,Less than once a week,About once a week,1,1,1,1,0
2535,Person,2,wheels,spider,wheels,1,1,1,0,2,no experience with coding,Never,Never,Never,1,1,1,1,1
5030,AI,4,wheels,spider,wheels,1,1,1,1,0,no experience with coding,Several times a day,Never,Never,1,1,1,1,1
3592,Person,3,spider,wheels,spider,1,1,1,1,3,after school programs or camps related to coding,About once a week,Several times a day,Several times a day,1,1,1,1,1
5265,AI,2,wheels,spider,spider,1,1,1,1,3,coding class at school,Several times a day,About once a day,About once a day,1,1,1,1,0
3514,Person,1,spider,wheels,spider,1,1,1,0,3,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,Several times a day,1,1,1,1,1
4272,Person,4,wheels,spider,wheels,1,1,1,1,NA,NA,Several times a day,NA,NA,1,1,1,1,1
2414,Person,4,wheels,spider,wheels,1,0,0,0,0,no experience with coding,Less than once a week,NA,NA,1,1,1,1,1
5505,AI,2,wheels,spider,spider,1,1,1,1,10,no experience with coding,Several times a day,About once a day,About once a day,1,1,1,1,0
3241,AI,4,wheels,spider,wheels,1,1,1,1,2,no experience with coding,Less than once a week,About once a week,NA,1,1,1,1,1
1630,AI,4,wheels,spider,spider,1,1,1,1,0,no experience with coding,About once a day,Never,NA,1,1,1,1,0
2415,Person,1,spider,wheels,spider,1,1,1,1,NA,coding class at school,About once a week,Never,Never,1,1,1,1,1
3706,Person,2,wheels,spider,wheels,1,1,1,1,NA,coding class at school,NA,NA,NA,1,1,1,1,1
2631,AI,4,wheels,spider,spider,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a week,1,1,1,1,0
4056,AI,2,wheels,spider,wheels,1,1,1,1,1,no experience with coding,About once a day,NA,About once a day,1,1,1,1,1
1283,Person,2,wheels,spider,wheels,1,0,0,1,0,no experience with coding,About once a week,Never,Never,1,1,1,1,1
1344,AI,4,wheels,spider,wheels,1,1,1,1,4,no experience with coding,About once a week,About once a day,About once a week,1,1,1,1,1
5161,Person,3,spider,wheels,spider,1,1,1,1,4,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
3749,Person,2,wheels,spider,wheels,1,1,1,1,NA,no experience with coding,About once a day,NA,About once a week,1,1,1,1,1
2838,Person,2,wheels,spider,wheels,1,1,1,1,4,no experience with coding,About once a day,About once a day,About once a day,1,1,1,1,1
2536,AI,4,wheels,spider,wheels,1,1,1,1,3,no experience with coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
4342,AI,2,wheels,spider,wheels,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,NA,1,1,1,1,1
3540,Person,2,wheels,spider,wheels,1,1,1,1,2,coding class at school,Several times a day,About once a day,About once a day,1,1,1,1,1
