"child__hashed_id","age_days","child_gender","condition","counterbalance","attn1","attn2","pass_attn1","pass_attn2","test","chose_song_1","carrie_diverse_desire","rachel_false_belief","diana_false_belief","allie_false_belief","num_speakers","smart_speaker_frequency"
"M2VDRX",3390,"f","AI",2,"wheels","spider",1,1,"wheels",1,1,1,1,1,0,NA
"M6LdNB",4611,"m","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Less than once a week"
"MATGdB",3160,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,NA,NA
"MBCA5E",2739,"f","Person",2,"wheels","spider",1,1,"wheels",1,1,0,1,1,3,"Several times a day"
"MBSYFS",1739,"m","Person",3,"spider","wheels",1,1,"spider",1,1,0,0,0,2,"About once a week"
"MM7MHD",2903,"m","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"MNMX4S",5375,"m","AI",1,"spider","wheels",1,1,"wheels",0,1,1,1,1,0,"Never"
"MQ5dCM",4267,"f","AI",3,"spider","wheels",1,1,"wheels",0,1,1,1,1,3,"Several times a day"
"MR5MAH",2695,"f","AI",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,NA
"N2ZVC6",5287,"m","Person",3,"spider","wheels",1,1,"wheels",0,0,1,1,1,1,"About once a day"
"N4N6Q2",1886,"m","AI",1,"spider","wheels",1,1,"spider",1,1,0,1,0,0,NA
"N54WCV",5748,"f","Person",3,"spider","wheels",1,1,"spider",1,1,1,1,1,0,"Never"
"NA75A3",1330,"f","AI",2,"wheels","spider",1,1,"spider",0,0,0,1,1,2,"Several times a day"
"NBR2LE",3651,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"Less than once a week"
"NBXP7N",3390,"m","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,1,"About once a week"
"NDM42C",2231,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"Never"
"NEQP2Q",1850,"f","Person",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,NA,"Less than once a week"
"NMW7J7",1487,"f","Person",1,"spider","wheels",1,1,"spider",1,1,1,1,1,1,"About once a week"
"NN3UDW",4455,"m","AI",4,"wheels","spider",1,1,"wheels",1,1,1,1,1,2,"Several times a day"
